,Capital,slippage,slippagePerCap,window_rolling,Y_threshold,max_hold_period,stopLossesPercent,takePercent,shift_param,time_barrier_param,result
56,100000,10,0.0001,588T,250.0,1144T,"{'BuyLossPercent': 0.006999999999999999, 'SellLossPercent': 0.006999999999999999}","{'SellTakePercent': 0.004, 'BuyTakePercent': 0.004}",588,1144,-0.7557
57,100000,10,0.0001,100T,400.0,1144T,"{'BuyLossPercent': 0.004, 'SellLossPercent': 0.004}","{'SellTakePercent': 0.002, 'BuyTakePercent': 0.002}",100,1144,0.034
58,100000,10,0.0001,466T,325.0,1666T,"{'BuyLossPercent': 0.004, 'SellLossPercent': 0.004}","{'SellTakePercent': 0.003, 'BuyTakePercent': 0.003}",466,1666,-0.9202
59,100000,10,0.0001,222T,250.0,1405T,"{'BuyLossPercent': 0.005, 'SellLossPercent': 0.005}","{'SellTakePercent': 0.005, 'BuyTakePercent': 0.005}",222,1405,-0.9829
60,100000,10,0.0001,466T,250.0,1144T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.006999999999999999, 'BuyTakePercent': 0.006999999999999999}",466,1144,-0.9958
61,100000,10,0.0001,405T,250.0,1144T,"{'BuyLossPercent': 0.004, 'SellLossPercent': 0.004}","{'SellTakePercent': 0.003, 'BuyTakePercent': 0.003}",405,1144,-0.9497
62,100000,10,0.0001,405T,175.0,1666T,"{'BuyLossPercent': 0.011, 'SellLossPercent': 0.011}","{'SellTakePercent': 0.002, 'BuyTakePercent': 0.002}",405,1666,-0.8988
63,100000,10,0.0001,650T,400.0,2188T,"{'BuyLossPercent': 0.012, 'SellLossPercent': 0.012}","{'SellTakePercent': 0.006999999999999999, 'BuyTakePercent': 0.006999999999999999}",650,2188,-0.0115
64,100000,10,0.0001,222T,100.0,361T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.012, 'BuyTakePercent': 0.012}",222,361,-0.9993
65,100000,10,0.0001,527T,250.0,1666T,"{'BuyLossPercent': 0.003, 'SellLossPercent': 0.003}","{'SellTakePercent': 0.006999999999999999, 'BuyTakePercent': 0.006999999999999999}",527,1666,-0.9922
66,100000,10,0.0001,405T,175.0,361T,"{'BuyLossPercent': 0.006, 'SellLossPercent': 0.006}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",405,361,-0.9732
67,100000,10,0.0001,283T,250.0,100T,"{'BuyLossPercent': 0.009, 'SellLossPercent': 0.009}","{'SellTakePercent': 0.012, 'BuyTakePercent': 0.012}",283,100,-0.9263
68,100000,10,0.0001,222T,400.0,2188T,"{'BuyLossPercent': 0.012, 'SellLossPercent': 0.012}","{'SellTakePercent': 0.005, 'BuyTakePercent': 0.005}",222,2188,-0.4296
69,100000,10,0.0001,161T,400.0,622T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.002, 'BuyTakePercent': 0.002}",161,622,-0.9648
70,100000,10,0.0001,283T,175.0,622T,"{'BuyLossPercent': 0.009, 'SellLossPercent': 0.009}","{'SellTakePercent': 0.008, 'BuyTakePercent': 0.008}",283,622,-0.9223
71,100000,10,0.0001,100T,100.0,100T,"{'BuyLossPercent': 0.004, 'SellLossPercent': 0.004}","{'SellTakePercent': 0.004, 'BuyTakePercent': 0.004}",100,100,-0.9993
72,100000,10,0.0001,650T,325.0,1405T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.002, 'BuyTakePercent': 0.002}",650,1405,-1.0002
73,100000,10,0.0001,222T,325.0,1144T,"{'BuyLossPercent': 0.001, 'SellLossPercent': 0.001}","{'SellTakePercent': 0.001, 'BuyTakePercent': 0.001}",222,1144,-0.9935
