,Capital,slippage,slippagePerCap,window_rolling,Y_threshold,max_hold_period,stopLossesPercent,takePercent,shift_param,time_barrier_param,variance_ratio_lookback,variance_ration_carette,result,total_pnl
152,100000,10,0.0001,380T,60.0,343T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",380,343,0 days 12:40:00,0 days 01:16:00,-1.0019,-141931.41283271086
153,100000,10,0.0001,742T,60.0,450T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",742,450,1 days 00:44:00,0 days 00:37:06,-0.9878,-100929.79043627453
154,100000,10,0.0001,639T,153.33333333333331,450T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",639,450,0 days 21:18:00,0 days 00:31:57,-0.9725,-64190.48026666001
155,100000,10,0.0001,380T,106.66666666666666,95T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.01, 'BuyTakePercent': 0.01}",380,95,0 days 12:40:00,0 days 01:16:00,-0.9998,-269575.1052553449
156,100000,10,0.0001,898T,106.66666666666666,130T,"{'BuyLossPercent': 0.002, 'SellLossPercent': 0.002}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",898,130,1 days 05:56:00,0 days 02:59:36,-1.0,-5289952.535475004
157,100000,10,0.0001,225T,106.66666666666666,237T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",225,237,0 days 07:30:00,0 days 00:11:15,-0.9632,-60578.66758010643
158,100000,10,0.0001,950T,60.0,237T,"{'BuyLossPercent': 0.012666666666666666, 'SellLossPercent': 0.012666666666666666}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",950,237,1 days 07:40:00,0 days 00:47:30,-1.0008,-457671.8647037961
159,100000,10,0.0001,535T,153.33333333333331,95T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.048, 'BuyTakePercent': 0.048}",535,95,0 days 17:50:00,0 days 01:47:00,-0.9902,-124505.66276036999
160,100000,10,0.0001,950T,106.66666666666666,130T,"{'BuyLossPercent': 0.007333333333333334, 'SellLossPercent': 0.007333333333333334}","{'SellTakePercent': 0.035333333333333335, 'BuyTakePercent': 0.035333333333333335}",950,130,1 days 07:40:00,0 days 03:10:00,-0.9999,-497959.0956570255
161,100000,10,0.0001,535T,153.33333333333331,379T,"{'BuyLossPercent': 0.018000000000000002, 'SellLossPercent': 0.018000000000000002}","{'SellTakePercent': 0.022666666666666665, 'BuyTakePercent': 0.022666666666666665}",535,379,0 days 17:50:00,0 days 00:26:45,-0.9635,-65236.20109170987
